Country,y,f,Total annual demand (GWh),Demand type
COD,2020.0,EL3E,7368.6666725616,Current electrified
COD,2021.0,EL3E,9330.083340797402,Current electrified
COD,2021.0,EL3U,618.2500004945999,New electrified
COD,2022.0,EL3E,9404.3611186346,Current electrified
COD,2022.0,EL3U,1236.4722232114,New electrified
COD,2023.0,EL3E,9447.6944520026,Current electrified
COD,2023.0,EL3U,1854.722223706,New electrified
COD,2024.0,EL3E,9458.5833409002,Current electrified
COD,2024.0,EL3U,2472.9722242006,New electrified
COD,2025.0,EL3E,9434.5555631032,Current electrified
COD,2025.0,EL3U,3091.1944469174,New electrified
COD,2026.0,EL3E,10092.0000080736,Current electrified
COD,2026.0,EL3U,3709.444447412,New electrified
COD,2027.0,EL3E,10712.916675237,Current electrified
COD,2027.0,EL3U,3928.1111142536,New electrified
COD,2028.0,EL3E,11298.0833423718,Current electrified
COD,2028.0,EL3U,4146.805558873,New electrified
COD,2029.0,EL3E,11846.4722316994,Current electrified
COD,2029.0,EL3U,4365.5000034924005,New electrified
COD,2030.0,EL3E,12356.8333432188,Current electrified
COD,2030.0,EL3U,4584.166670334001,New electrified
COD,2020.0,BDIEL1,215.6666668392,Exports (BDI)
COD,2020.0,COGEL1,499.3333337328,Exports (COG)
COD,2020.0,RWAEL1,352.1388891706,Exports (RWA)
COD,2020.0,ZMBEL1,2163.7222239532,Exports (ZMB)
COD,2021.0,COGEL1,499.3333337328,Exports (COG)
COD,2021.0,ZMBEL1,1352.3333344152002,Exports (ZMB)
COD,2022.0,AGOEL1,406.0555558804,Exports (AGO)
COD,2022.0,COGEL1,499.3333337328,Exports (COG)
COD,2022.0,ZMBEL1,735.7222228108001,Exports (ZMB)
COD,2023.0,AGOEL1,2207.6944462106003,Exports (AGO)
COD,2023.0,COGEL1,499.3333337328,Exports (COG)
COD,2024.0,COGEL1,499.3333337328,Exports (COG)
COD,2024.0,ZMBEL1,1487.777778968,Exports (ZMB)
COD,2025.0,BDIEL1,1.1944444454,Exports (BDI)
COD,2025.0,COGEL1,358.2500002866,Exports (COG)
COD,2025.0,ZMBEL1,666.1388894218,Exports (ZMB)
COD,2026.0,AGOEL1,131.9166667722,Exports (AGO)
COD,2026.0,COGEL1,358.2500002866,Exports (COG)
COD,2026.0,ZMBEL1,383.1388891954,Exports (ZMB)
COD,2027.0,COGEL1,312.083333583,Exports (COG)
COD,2027.0,ZMBEL1,575.8611115718,Exports (ZMB)
COD,2028.0,AGOEL1,524.2777781972001,Exports (AGO)
COD,2028.0,COGEL1,312.083333583,Exports (COG)
COD,2028.0,ZMBEL1,356.0555558404,Exports (ZMB)
COD,2029.0,AGOEL1,554.5000004436,Exports (AGO)
COD,2029.0,COGEL1,312.083333583,Exports (COG)
COD,2029.0,ZMBEL1,332.5833335994,Exports (ZMB)
COD,2030.0,AGOEL1,902.8333340556,Exports (AGO)
COD,2030.0,COGEL1,312.083333583,Exports (COG)
COD,2030.0,ZMBEL1,811.388889538,Exports (ZMB)
