Country,y,f,Total annual demand (GWh),Demand type
BWA,2020.0,EL3E,4110.2222255104,Current electrified
BWA,2021.0,EL3E,4001.6111143124,Current electrified
BWA,2021.0,EL3U,348.8333336124,New electrified
BWA,2022.0,EL3E,4050.555558796,Current electrified
BWA,2022.0,EL3U,697.6944450026,New electrified
BWA,2023.0,EL3E,4093.611114386,Current electrified
BWA,2023.0,EL3U,1046.527778615,New electrified
BWA,2024.0,EL3E,4132.1388921946,Current electrified
BWA,2024.0,EL3U,1395.3611122274,New electrified
BWA,2025.0,EL3E,4168.6388922238,Current electrified
BWA,2025.0,EL3U,1744.2222236176,New electrified
BWA,2026.0,EL3E,4273.750003419001,Current electrified
BWA,2026.0,EL3U,2093.05555723,New electrified
BWA,2027.0,EL3E,4378.500003502801,Current electrified
BWA,2027.0,EL3U,2164.1111128424,New electrified
BWA,2028.0,EL3E,4482.1666702524,Current electrified
BWA,2028.0,EL3U,2235.1388906770003,New electrified
BWA,2029.0,EL3E,4584.6666703344,Current electrified
BWA,2029.0,EL3U,2306.1944462894003,New electrified
BWA,2030.0,EL3E,4686.250003749,Current electrified
BWA,2030.0,EL3U,2377.222224124,New electrified
BWA,2030.0,ZAFEL1,38.6388889198,Exports (ZAF)
