Country,y,f,Total annual demand (GWh),Demand type
BWA,2020.0,EL3E,4110.2222255104,Current electrified
BWA,2021.0,EL3E,4001.5833365346,Current electrified
BWA,2021.0,EL3U,508.750000407,New electrified
BWA,2022.0,EL3E,4050.555558796,Current electrified
BWA,2022.0,EL3U,1017.500000814,New electrified
BWA,2023.0,EL3E,4093.611114386,Current electrified
BWA,2023.0,EL3U,1526.2500012210005,New electrified
BWA,2024.0,EL3E,4132.1388921946,Current electrified
BWA,2024.0,EL3U,2035.000001628,New electrified
BWA,2025.0,EL3E,4168.6388922238,Current electrified
BWA,2025.0,EL3U,2543.7500020350003,New electrified
BWA,2026.0,EL3E,4273.722225641201,Current electrified
BWA,2026.0,EL3U,3052.500002442001,New electrified
BWA,2027.0,EL3E,4378.527781280601,Current electrified
BWA,2027.0,EL3U,3152.916669189,New electrified
BWA,2028.0,EL3E,4482.1666702524,Current electrified
BWA,2028.0,EL3U,3253.333335936,New electrified
BWA,2029.0,EL3E,4584.6388925566,Current electrified
BWA,2029.0,EL3U,3353.750002683,New electrified
BWA,2030.0,EL3E,4686.250003749,Current electrified
BWA,2030.0,EL3U,3454.16666943,New electrified
BWA,2029.0,ZAFEL1,399.861111431,Exports (ZAF)
BWA,2030.0,ZAFEL1,1583.2222234888002,Exports (ZAF)
