Country,y,f,Total annual demand (GWh),Demand type
COD,2020.0,EL3E,7368.6666725616,Current electrified
COD,2021.0,EL3E,9330.0555630196,Current electrified
COD,2021.0,EL3U,342.3055558294,New electrified
COD,2022.0,EL3E,9404.3333408568,Current electrified
COD,2022.0,EL3U,684.6388894366,New electrified
COD,2023.0,EL3E,9447.666674224802,Current electrified
COD,2023.0,EL3U,1026.944445266,New electrified
COD,2024.0,EL3E,9458.583340900204,Current electrified
COD,2024.0,EL3U,1369.2500010954,New electrified
COD,2025.0,EL3E,9434.583340881,Current electrified
COD,2025.0,EL3U,1711.5833347026,New electrified
COD,2026.0,EL3E,10091.9722302958,Current electrified
COD,2026.0,EL3U,2053.888890532,New electrified
COD,2027.0,EL3E,10712.916675237002,Current electrified
COD,2027.0,EL3U,2173.5555572944,New electrified
COD,2028.0,EL3E,11298.0833423718,Current electrified
COD,2028.0,EL3U,2293.194446279,New electrified
COD,2029.0,EL3E,11846.4722316994,Current electrified
COD,2029.0,EL3U,2412.8611130414,New electrified
COD,2030.0,EL3E,12356.8333432188,Current electrified
COD,2030.0,EL3U,2532.5000020260004,New electrified
COD,2020.0,BDIEL1,269.3888891044,Exports (BDI)
COD,2020.0,COGEL1,499.3333337328,Exports (COG)
COD,2020.0,RWAEL1,1532.638890115,Exports (RWA)
COD,2020.0,ZMBEL1,2163.7222239532,Exports (ZMB)
COD,2021.0,BDIEL1,149.3888890084,Exports (BDI)
COD,2021.0,COGEL1,499.3333337328,Exports (COG)
COD,2021.0,RWAEL1,1234.166667654,Exports (RWA)
COD,2021.0,ZMBEL1,1110.6666675552,Exports (ZMB)
COD,2022.0,AGOEL1,156.97222234780003,Exports (AGO)
COD,2022.0,BDIEL1,126.3333334344,Exports (BDI)
COD,2022.0,COGEL1,499.3333337328,Exports (COG)
COD,2022.0,RWAEL1,1117.1111120048,Exports (RWA)
COD,2023.0,AGOEL1,1150.3888898092,Exports (AGO)
COD,2023.0,BDIEL1,183.9722223694,Exports (BDI)
COD,2023.0,COGEL1,312.083333583,Exports (COG)
COD,2023.0,RWAEL1,1069.2777786332,Exports (RWA)
COD,2024.0,BDIEL1,535.3888893172,Exports (BDI)
COD,2024.0,COGEL1,312.083333583,Exports (COG)
COD,2024.0,RWAEL1,2145.277779494,Exports (RWA)
COD,2024.0,ZMBEL1,430.9166670114,Exports (ZMB)
COD,2025.0,BDIEL1,2.4722222242000003,Exports (BDI)
COD,2025.0,COGEL1,312.083333583,Exports (COG)
COD,2025.0,RWAEL1,432.1944447902,Exports (RWA)
COD,2025.0,ZMBEL1,635.4444449528,Exports (ZMB)
COD,2026.0,BDIEL1,81.5555556208,Exports (BDI)
COD,2026.0,COGEL1,312.083333583,Exports (COG)
COD,2026.0,RWAEL1,223.333333512,Exports (RWA)
COD,2026.0,ZMBEL1,611.3333338224,Exports (ZMB)
COD,2027.0,BDIEL1,71.2777778348,Exports (BDI)
COD,2027.0,COGEL1,312.083333583,Exports (COG)
COD,2027.0,RWAEL1,65.5833333858,Exports (RWA)
COD,2027.0,ZMBEL1,611.3333338224,Exports (ZMB)
COD,2028.0,AGOEL1,618.7222227172,Exports (AGO)
COD,2028.0,BDIEL1,109.2500000874,Exports (BDI)
COD,2028.0,COGEL1,312.083333583,Exports (COG)
COD,2028.0,RWAEL1,53.694444487400006,Exports (RWA)
COD,2028.0,ZMBEL1,611.3333338224,Exports (ZMB)
COD,2029.0,AGOEL1,226.75000018140005,Exports (AGO)
COD,2029.0,BDIEL1,134.0555556628,Exports (BDI)
COD,2029.0,COGEL1,307.6944446906,Exports (COG)
COD,2029.0,RWAEL1,55.7500000446,Exports (RWA)
COD,2029.0,ZMBEL1,611.3333338224,Exports (ZMB)
COD,2030.0,AGOEL1,1291.0555565884,Exports (AGO)
COD,2030.0,BDIEL1,104.9444445284,Exports (BDI)
COD,2030.0,COGEL1,312.083333583,Exports (COG)
COD,2030.0,ZMBEL1,818.333333988,Exports (ZMB)
