Country,y,f,Total annual demand (GWh),Demand type
ETH,2020.0,EL3E,11070.1111199672,Current electrified
ETH,2021.0,EL3E,13057.4722326682,Current electrified
ETH,2021.0,EL3U,836.5833340025999,New electrified
ETH,2022.0,EL3E,14828.8333451964,Current electrified
ETH,2022.0,EL3U,1673.1388902274,New electrified
ETH,2023.0,EL3E,16598.3889021676,Current electrified
ETH,2023.0,EL3U,2509.72222423,New electrified
ETH,2024.0,EL3E,18366.333348026405,Current electrified
ETH,2024.0,EL3U,3346.3055582326,New electrified
ETH,2025.0,EL3E,20132.7222383284,Current electrified
ETH,2025.0,EL3U,4182.8611144574,New electrified
ETH,2026.0,EL3E,21580.9444617092,Current electrified
ETH,2026.0,EL3U,5019.44444846,New electrified
ETH,2027.0,EL3E,23027.8333517556,Current electrified
ETH,2027.0,EL3U,5294.44444868,New electrified
ETH,2028.0,EL3E,24473.638908467805,Current electrified
ETH,2028.0,EL3U,5569.444448900001,New electrified
ETH,2029.0,EL3E,25918.555576290404,Current electrified
ETH,2029.0,EL3U,5844.44444912,New electrified
ETH,2030.0,EL3E,27362.944466334804,Current electrified
ETH,2030.0,EL3U,6119.444449340001,New electrified
ETH,2020.0,DJIEL1,401.44444476560005,Exports (DJI)
ETH,2020.0,KENEL1,7401.555561476801,Exports (KEN)
ETH,2020.0,SDNEL1,1664.3888902203998,Exports (SDN)
ETH,2021.0,DJIEL1,250.6388890894,Exports (DJI)
ETH,2021.0,KENEL1,10756.6388974942,Exports (KEN)
ETH,2021.0,SDNEL1,1664.3888902203998,Exports (SDN)
ETH,2022.0,DJIEL1,321.527778035,Exports (DJI)
ETH,2022.0,KENEL1,13154.277788301202,Exports (KEN)
ETH,2022.0,SDNEL1,1525.1666678868,Exports (SDN)
ETH,2023.0,DJIEL1,530.5833337578,Exports (DJI)
ETH,2023.0,KENEL1,16644.0000133152,Exports (KEN)
ETH,2023.0,SDNEL1,1664.3888902203998,Exports (SDN)
ETH,2024.0,DJIEL1,682.5833338794,Exports (DJI)
ETH,2024.0,KENEL1,16644.0000133152,Exports (KEN)
ETH,2024.0,SDNEL1,1664.3888902203998,Exports (SDN)
ETH,2025.0,DJIEL1,775.2222228424,Exports (DJI)
ETH,2025.0,KENEL1,16644.0000133152,Exports (KEN)
ETH,2025.0,SDNEL1,1664.3888902203998,Exports (SDN)
ETH,2026.0,DJIEL1,784.4722228498,Exports (DJI)
ETH,2026.0,KENEL1,16644.0000133152,Exports (KEN)
ETH,2026.0,SDNEL1,1664.3888902203998,Exports (SDN)
ETH,2027.0,DJIEL1,841.9444451180001,Exports (DJI)
ETH,2027.0,KENEL1,16644.0000133152,Exports (KEN)
ETH,2027.0,SDNEL1,1664.3888902203998,Exports (SDN)
ETH,2028.0,DJIEL1,896.0000007168001,Exports (DJI)
ETH,2028.0,KENEL1,16644.0000133152,Exports (KEN)
ETH,2028.0,SDNEL1,1664.3888902203998,Exports (SDN)
ETH,2029.0,DJIEL1,810.3888895372,Exports (DJI)
ETH,2029.0,KENEL1,16085.833346202,Exports (KEN)
ETH,2029.0,SDNEL1,1664.3888902203998,Exports (SDN)
ETH,2030.0,DJIEL1,870.138889585,Exports (DJI)
ETH,2030.0,KENEL1,15163.750012131,Exports (KEN)
ETH,2030.0,SDNEL1,1649.583334653,Exports (SDN)
