Country,y,f,Total annual demand (GWh),Demand type
GIN,2020.0,EL3E,1679.3888902324,Current electrified
GIN,2021.0,EL3E,1722.1666680444,Current electrified
GIN,2021.0,EL3U,88.3888889596,New electrified
GIN,2022.0,EL3E,1760.6388902974002,Current electrified
GIN,2022.0,EL3U,176.7500001414,New electrified
GIN,2023.0,EL3E,1795.3055569918,Current electrified
GIN,2023.0,EL3U,265.138889101,New electrified
GIN,2024.0,EL3E,1826.8333347948,Current electrified
GIN,2024.0,EL3U,353.5277780606,New electrified
GIN,2025.0,EL3E,1923.3611126498,Current electrified
GIN,2025.0,EL3U,441.8888892424,New electrified
GIN,2026.0,EL3E,2021.1666682836,Current electrified
GIN,2026.0,EL3U,530.277778202,New electrified
GIN,2027.0,EL3E,2120.1666683628,Current electrified
GIN,2027.0,EL3U,560.277778226,New electrified
GIN,2028.0,EL3E,2220.2500017762,Current electrified
GIN,2028.0,EL3U,590.27777825,New electrified
GIN,2029.0,EL3E,2321.2500018570004,Current electrified
GIN,2029.0,EL3U,620.2777782740001,New electrified
GIN,2030.0,EL3E,2437.8611130614004,Current electrified
GIN,2030.0,EL3U,650.277778298,New electrified
GIN,2020.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2021.0,GNBEL1,172.77777791600002,Exports (GNB)
GIN,2021.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2021.0,SENEL1,1502.1666678684,Exports (SEN)
GIN,2022.0,GNBEL1,106.4722223074,Exports (GNB)
GIN,2022.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2022.0,SENEL1,2006.9722238278,Exports (SEN)
GIN,2023.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2023.0,SENEL1,1152.9722231446,Exports (SEN)
GIN,2024.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2024.0,SENEL1,1354.16666775,Exports (SEN)
GIN,2025.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2025.0,SENEL1,1638.8055568666002,Exports (SEN)
GIN,2026.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2026.0,SENEL1,3026.4722246434,Exports (SEN)
GIN,2027.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2027.0,SENEL1,3279.7777804016,Exports (SEN)
GIN,2027.0,SLEEL1,46.75000003740001,Exports (SLE)
GIN,2028.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2028.0,SENEL1,3428.1666694092,Exports (SEN)
GIN,2029.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2029.0,SENEL1,3533.1666694932,Exports (SEN)
GIN,2030.0,MLIEL1,2673.8611132502,Exports (MLI)
GIN,2030.0,SENEL1,3324.9722248822,Exports (SEN)
GIN,2030.0,SLEEL1,72.50000005800001,Exports (SLE)
