Country,y,f,Total annual demand (GWh),Demand type
AGO,2020.0,EL3E,12014.694454056202,Current electrified
AGO,2021.0,EL3E,11782.916676092998,Current electrified
AGO,2021.0,EL3U,1186.4722231714002,New electrified
AGO,2022.0,EL3E,12643.6944545594,Current electrified
AGO,2022.0,EL3U,2372.9722241206,New electrified
AGO,2023.0,EL3E,13531.5000108252,Current electrified
AGO,2023.0,EL3U,3559.444447292,New electrified
AGO,2024.0,EL3E,14447.500011558,Current electrified
AGO,2024.0,EL3U,4745.9166704634,New electrified
AGO,2025.0,EL3E,15392.833345647601,Current electrified
AGO,2025.0,EL3U,5932.4166714126,New electrified
AGO,2026.0,EL3E,16408.7222353492,Current electrified
AGO,2026.0,EL3U,7118.888894584,New electrified
AGO,2027.0,EL3E,17455.6111250756,Current electrified
AGO,2027.0,EL3U,7501.5833393346,New electrified
AGO,2028.0,EL3E,18533.8611259382,Current electrified
AGO,2028.0,EL3U,7884.305561863001,New electrified
AGO,2029.0,EL3E,19643.638904603802,Current electrified
AGO,2029.0,EL3U,8267.0277843914,New electrified
AGO,2030.0,EL3E,20784.888905516804,Current electrified
AGO,2030.0,EL3U,8649.722229142,New electrified
BDI,2020.0,EL3E,291.66666690000005,Current electrified
BDI,2021.0,EL3E,299.0833335726,Current electrified
BDI,2021.0,EL3U,70.97222227900001,New electrified
BDI,2022.0,EL3E,305.7500002446,Current electrified
BDI,2022.0,EL3U,141.94444455800001,New electrified
BDI,2023.0,EL3E,311.77777802720004,Current electrified
BDI,2023.0,EL3U,212.916666837,New electrified
BDI,2024.0,EL3E,317.25000025380007,Current electrified
BDI,2024.0,EL3U,283.88888911600003,New electrified
BDI,2025.0,EL3E,334.027778045,Current electrified
BDI,2025.0,EL3U,354.861111395,New electrified
BDI,2026.0,EL3E,351.0000002808,Current electrified
BDI,2026.0,EL3U,425.833333674,New electrified
BDI,2027.0,EL3E,368.194444739,Current electrified
BDI,2027.0,EL3U,458.47222258900007,New electrified
BDI,2028.0,EL3E,385.55555586400004,Current electrified
BDI,2028.0,EL3U,491.111111504,New electrified
BDI,2029.0,EL3E,403.11111143360006,Current electrified
BDI,2029.0,EL3U,523.750000419,New electrified
BDI,2030.0,EL3E,423.36111144980003,Current electrified
BDI,2030.0,EL3U,556.388889334,New electrified
BEN,2020.0,EL3E,1336.1666677356,Current electrified
BEN,2021.0,EL3E,1372.6944455426,Current electrified
BEN,2021.0,EL3U,76.0555556164,New electrified
BEN,2022.0,EL3E,1408.8333344604,Current electrified
BEN,2022.0,EL3U,152.1388890106,New electrified
BEN,2023.0,EL3E,1444.9444456003998,Current electrified
BEN,2023.0,EL3U,228.19444462700002,New electrified
BEN,2024.0,EL3E,1481.0555567403999,Current electrified
BEN,2024.0,EL3U,304.2500002434,New electrified
BEN,2025.0,EL3E,1517.1666678804002,Current electrified
BEN,2025.0,EL3U,380.3333336376,New electrified
BEN,2026.0,EL3E,1592.0000012736002,Current electrified
BEN,2026.0,EL3U,456.38888925400005,New electrified
BEN,2027.0,EL3E,1666.8055568890002,Current electrified
BEN,2027.0,EL3U,478.80555593860004,New electrified
BEN,2028.0,EL3E,1741.6111125044001,Current electrified
BEN,2028.0,EL3U,501.250000401,New electrified
BEN,2029.0,EL3E,1816.4444458976002,Current electrified
BEN,2029.0,EL3U,523.6944448634,New electrified
BEN,2030.0,EL3E,1891.1944459574004,Current electrified
BEN,2030.0,EL3U,546.111111548,New electrified
BFA,2020.0,EL3E,1657.9444457708003,Current electrified
BFA,2021.0,EL3E,1700.1944458045998,Current electrified
BFA,2021.0,EL3U,56.7222222676,New electrified
BFA,2022.0,EL3E,1738.1666680572002,Current electrified
BFA,2022.0,EL3U,113.41666675740001,New electrified
BFA,2023.0,EL3E,1772.3888903067998,Current electrified
BFA,2023.0,EL3U,170.13888902500003,New electrified
BFA,2024.0,EL3E,1803.5000014427999,Current electrified
BFA,2024.0,EL3U,226.86111129260001,New electrified
BFA,2025.0,EL3E,1898.8333348524,Current electrified
BFA,2025.0,EL3U,283.5555557824,New electrified
BFA,2026.0,EL3E,1995.3611127073998,Current electrified
BFA,2026.0,EL3U,340.27777805000005,New electrified
BFA,2027.0,EL3E,2093.0833350078,Current electrified
BFA,2027.0,EL3U,362.13888917860004,New electrified
BFA,2028.0,EL3E,2191.9166684202,Current electrified
BFA,2028.0,EL3U,384.027778085,New electrified
BFA,2029.0,EL3E,2291.6111129444002,Current electrified
BFA,2029.0,EL3U,405.9166669914,New electrified
BFA,2030.0,EL3E,2406.7222241475997,Current electrified
BFA,2030.0,EL3U,427.77777812000005,New electrified
BWA,2020.0,EL3E,4110.2222255104,Current electrified
BWA,2021.0,EL3E,4001.5833365346,Current electrified
BWA,2021.0,EL3U,348.8333336124,New electrified
BWA,2022.0,EL3E,4050.555558796,Current electrified
BWA,2022.0,EL3U,697.6944450026,New electrified
BWA,2023.0,EL3E,4093.6111143860003,Current electrified
BWA,2023.0,EL3U,1046.527778615,New electrified
BWA,2024.0,EL3E,4132.1388921946,Current electrified
BWA,2024.0,EL3U,1395.3611122274,New electrified
BWA,2025.0,EL3E,4168.6388922238,Current electrified
BWA,2025.0,EL3U,1744.2222236176,New electrified
BWA,2026.0,EL3E,4273.722225641201,Current electrified
BWA,2026.0,EL3U,2093.05555723,New electrified
BWA,2027.0,EL3E,4378.500003502801,Current electrified
BWA,2027.0,EL3U,2164.1111128424,New electrified
BWA,2028.0,EL3E,4482.1388924746,Current electrified
BWA,2028.0,EL3U,2235.1388906770003,New electrified
BWA,2029.0,EL3E,4584.6388925566,Current electrified
BWA,2029.0,EL3U,2306.1944462894003,New electrified
BWA,2030.0,EL3E,4686.2222259712,Current electrified
BWA,2030.0,EL3U,2377.222224124,New electrified
CAF,2020.0,EL3E,144.80555567140001,Current electrified
CAF,2021.0,EL3E,148.50000011880002,Current electrified
CAF,2021.0,EL3U,36.44444447360001,New electrified
CAF,2022.0,EL3E,151.805555677,Current electrified
CAF,2022.0,EL3U,72.86111116939999,New electrified
CAF,2023.0,EL3E,154.77777790160002,Current electrified
CAF,2023.0,EL3U,109.305555643,New electrified
CAF,2024.0,EL3E,157.500000126,Current electrified
CAF,2024.0,EL3U,145.75000011660003,New electrified
CAF,2025.0,EL3E,165.833333466,Current electrified
CAF,2025.0,EL3U,182.16666681240002,New electrified
CAF,2026.0,EL3E,174.27777791720004,Current electrified
CAF,2026.0,EL3U,218.611111286,New electrified
CAF,2027.0,EL3E,182.80555570180002,Current electrified
CAF,2027.0,EL3U,229.25000018340003,New electrified
CAF,2028.0,EL3E,191.4444445976,Current electrified
CAF,2028.0,EL3U,239.86111130300003,New electrified
