Country,y,f,Total annual demand (GWh),Demand type
AGO,2020.0,EL3E,12014.6666762784,Current electrified
AGO,2021.0,EL3E,11782.916676092998,Current electrified
AGO,2021.0,EL3U,1017.500000814,New electrified
AGO,2022.0,EL3E,12643.6944545594,Current electrified
AGO,2022.0,EL3U,2035.000001628,New electrified
AGO,2023.0,EL3E,13531.4722330474,Current electrified
AGO,2023.0,EL3U,3052.5000024420006,New electrified
AGO,2024.0,EL3E,14447.472233780201,Current electrified
AGO,2024.0,EL3U,4070.000003256,New electrified
AGO,2025.0,EL3E,15392.833345647601,Current electrified
AGO,2025.0,EL3U,5087.500004070001,New electrified
AGO,2026.0,EL3E,16408.7222353492,Current electrified
AGO,2026.0,EL3U,6105.000004884001,New electrified
AGO,2027.0,EL3E,17455.5833472978,Current electrified
AGO,2027.0,EL3U,6427.833338475601,New electrified
AGO,2028.0,EL3E,18533.8611259382,Current electrified
AGO,2028.0,EL3U,6750.694449845,New electrified
AGO,2029.0,EL3E,19643.638904603802,Current electrified
AGO,2029.0,EL3U,7073.555561214401,New electrified
AGO,2030.0,EL3E,20784.8889055168,Current electrified
AGO,2030.0,EL3U,7396.388894806,New electrified
BDI,2020.0,EL3E,291.66666690000005,Current electrified
BDI,2021.0,EL3E,299.0833335726,Current electrified
BDI,2021.0,EL3U,116.111111204,New electrified
BDI,2022.0,EL3E,305.7777780224,Current electrified
BDI,2022.0,EL3U,232.222222408,New electrified
BDI,2023.0,EL3E,311.77777802720004,Current electrified
BDI,2023.0,EL3U,348.333333612,New electrified
BDI,2024.0,EL3E,317.25000025380007,Current electrified
BDI,2024.0,EL3U,464.444444816,New electrified
BDI,2025.0,EL3E,334.027778045,Current electrified
BDI,2025.0,EL3U,580.55555602,New electrified
BDI,2026.0,EL3E,350.972222503,Current electrified
BDI,2026.0,EL3U,696.666667224,New electrified
BDI,2027.0,EL3E,368.1666669612,Current electrified
BDI,2027.0,EL3U,744.583333929,New electrified
BDI,2028.0,EL3E,385.55555586400004,Current electrified
BDI,2028.0,EL3U,792.5000006340001,New electrified
BDI,2029.0,EL3E,403.11111143360006,Current electrified
BDI,2029.0,EL3U,840.416667339,New electrified
BDI,2030.0,EL3E,423.36111144980003,Current electrified
BDI,2030.0,EL3U,888.333334044,New electrified
BEN,2020.0,EL3E,1336.1666677356,Current electrified
BEN,2021.0,EL3E,1372.6666677648,Current electrified
BEN,2021.0,EL3U,427.77777812000005,New electrified
BEN,2022.0,EL3E,1408.8055566826004,Current electrified
BEN,2022.0,EL3U,855.5555562400001,New electrified
BEN,2023.0,EL3E,1444.9166678226,Current electrified
BEN,2023.0,EL3U,1283.33333436,New electrified
BEN,2024.0,EL3E,1481.0555567404,Current electrified
BEN,2024.0,EL3U,1711.1111124800002,New electrified
BEN,2025.0,EL3E,1517.1944456582,Current electrified
BEN,2025.0,EL3U,2138.8888906,New electrified
BEN,2026.0,EL3E,1592.0000012736,Current electrified
BEN,2026.0,EL3U,2566.66666872,New electrified
BEN,2027.0,EL3E,1666.8333346668003,Current electrified
BEN,2027.0,EL3U,2689.2222243736,New electrified
BEN,2028.0,EL3E,1741.6388902822,Current electrified
BEN,2028.0,EL3U,2811.8055578050003,New electrified
